QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,RB,Denard Robinson (7581891),Denard Robinson,7581891,3000,Jax@Chi 01:00PM ET,Jax,
,,,,,,,,,,RB,Corey Grant (7581892),Corey Grant,7581892,3000,Jax@Chi 01:00PM ET,Jax,
,,,,,,,,,,RB,Ka'Deem Carey (7581894),Ka'Deem Carey,7581894,3000,Jax@Chi 01:00PM ET,Chi,
,,,,,,,,,,RB,Paul Lasike (7581896),Paul Lasike,7581896,3000,Jax@Chi 01:00PM ET,Chi,
,,,,,,,,,,WR,Bryan Walters (7581981),Bryan Walters,7581981,3000,Jax@Chi 01:00PM ET,Jax,
,,,,,,,,,,WR,Arrelious Benn (7581982),Arrelious Benn,7581982,3000,Jax@Chi 01:00PM ET,Jax,
,,,,,,,,,,WR,Deonte Thompson (7581983),Deonte Thompson,7581983,3000,Jax@Chi 01:00PM ET,Chi,
,,,,,,,,,,WR,Joshua Bellamy (7581986),Joshua Bellamy,7581986,3000,Jax@Chi 01:00PM ET,Chi,
,,,,,,,,,,WR,Rashad Greene (7581989),Rashad Greene,7581989,3000,Jax@Chi 01:00PM ET,Jax,
,,,,,,,,,,RB,Chase Reynolds (7581898),Chase Reynolds,7581898,3000,LA@Det 01:00PM ET,LA,
