QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,WR,Russell Shepard (7530946),Russell Shepard,7530946,3000,Den@TB 04:05PM ET,TB,
,,,,,,,,,,WR,Bennie Fowler (7530947),Bennie Fowler,7530947,3000,Den@TB 04:05PM ET,Den,
,,,,,,,,,,WR,Jordan Taylor (7530948),Jordan Taylor,7530948,3000,Den@TB 04:05PM ET,Den,
,,,,,,,,,,WR,Cecil Shorts III (7530949),Cecil Shorts III,7530949,3000,Den@TB 04:05PM ET,TB,
,,,,,,,,,,WR,Freddie Martino (7530950),Freddie Martino,7530950,3000,Den@TB 04:05PM ET,TB,
,,,,,,,,,,WR,Adam Humphries (7530952),Adam Humphries,7530952,3000,Den@TB 04:05PM ET,TB,
,,,,,,,,,,WR,Cody Latimer (7530953),Cody Latimer,7530953,3000,Den@TB 04:05PM ET,Den,
,,,,,,,,,,TE,Virgil Green (7531010),Virgil Green,7531010,3000,Den@TB 04:05PM ET,Den,
,,,,,,,,,,RB,Chase Reynolds (7530896),Chase Reynolds,7530896,3000,LA@Ari 04:25PM ET,LA,
,,,,,,,,,,RB,Stepfan Taylor (7530899),Stepfan Taylor,7530899,3000,LA@Ari 04:25PM ET,Ari,
,,,,,,,,,,RB,Malcolm Brown (7530901),Malcolm Brown,7530901,3000,LA@Ari 04:25PM ET,LA,
,,,,,,,,,,WR,Brian Quick (7530956),Brian Quick,7530956,3000,LA@Ari 04:25PM ET,LA,
,,,,,,,,,,WR,J.J. Nelson (7530961),J.J. Nelson,7530961,3000,LA@Ari 04:25PM ET,Ari,
,,,,,,,,,,WR,Bradley Marquez (7530962),Bradley Marquez,7530962,3000,LA@Ari 04:25PM ET,LA,
,,,,,,,,,,WR,Nelson Spruce (7530963),Nelson Spruce,7530963,3000,LA@Ari 04:25PM ET,LA,
,,,,,,,,,,WR,Pharoh Cooper (7530964),Pharoh Cooper,7530964,3000,LA@Ari 04:25PM ET,LA,
,,,,,,,,,,WR,Mike Thomas (7530965),Mike Thomas,7530965,3000,LA@Ari 04:25PM ET,LA,
,,,,,,,,,,RB,John Kuhn (7530904),John Kuhn,7530904,3000,NO@SD 04:25PM ET,NO,
,,,,,,,,,,RB,Marcus Murphy (7530908),Marcus Murphy,7530908,3000,NO@SD 04:25PM ET,NO,
,,,,,,,,,,RB,Derek Watt (7530910),Derek Watt,7530910,3000,NO@SD 04:25PM ET,SD,
,,,,,,,,,,RB,Daniel Lasco (7530911),Daniel Lasco,7530911,3000,NO@SD 04:25PM ET,NO,
,,,,,,,,,,RB,Kenneth Farrow (7530912),Kenneth Farrow,7530912,3000,NO@SD 04:25PM ET,SD,
,,,,,,,,,,WR,Griff Whalen (7530967),Griff Whalen,7530967,3000,NO@SD 04:25PM ET,SD,
,,,,,,,,,,WR,Brandon Coleman (7530969),Brandon Coleman,7530969,3000,NO@SD 04:25PM ET,NO,
,,,,,,,,,,WR,Tommylee Lewis (7530972),Tommylee Lewis,7530972,3000,NO@SD 04:25PM ET,NO,
,,,,,,,,,,RB,DuJuan Harris (7530915),DuJuan Harris,7530915,3000,Dal@SF 04:25PM ET,SF,
,,,,,,,,,,RB,Lance Dunbar (7530916),Lance Dunbar,7530916,3000,Dal@SF 04:25PM ET,Dal,
,,,,,,,,,,RB,Rod Smith (7530918),Rod Smith,7530918,3000,Dal@SF 04:25PM ET,Dal,
